driver,session,mode,d_start_m,d_end_m,length_m,mean_speed_kmh,peak_force_N,energy_kJ
HAM,2026_R1,SLM,507.3,728.4,221.1,246.2,4066.0,586.41
HAM,2026_R1,SLM,1933.0,2118.1,185.1,253.0,5382.0,551.57
HAM,2026_R1,SLM,2306.1,2434.3,128.2,307.2,3153.0,374.07
HAM,2026_R1,SLM,2524.2,2682.2,158.0,322.0,2451.0,331.68
HAM,2026_R1,SLM,3472.8,3584.4,111.6,252.4,3780.0,279.76
HAM,2026_R1,SLM,4837.4,5060.9,223.5,255.4,5424.0,816.5
HAM,2026_R1,OTM,521.8,617.3,95.5,237.4,4066.0,280.71
HAM,2026_R1,OTM,1974.3,2024.6,50.2,248.4,5382.0,234.88
HAM,2026_R1,OTM,4837.4,5010.4,173.0,241.0,5424.0,688.96
